"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001659","temperature homeostasis","7/133","195/28891",3.47905197410844e-05,0.00224398852329995,0.0015655733883488,"Ptgs2/Nova1/Adamts5/Il1b/Cxcr4/Htr2a/Pparg",7
"GO:0003012","muscle system process","10/133","446/28891",4.33066979856637e-05,0.00272515319031737,0.00190126966766328,"Kcnh2/Ptgs2/Dsp/Igfbp5/Cxcr4/Tmod2/Npy1r/Hand2/Htr2a/Pparg",10
"GO:0048730","epidermis morphogenesis","4/133","44/28891",5.05125342154008e-05,0.00310291281608891,0.00216482289494575,"Sostdc1/Igfbp5/Krt17/Tfap2a",4
"GO:0014013","regulation of gliogenesis","6/133","143/28891",5.41702872401589e-05,0.00324212049408171,0.00226194453075468,"Mdk/Il1b/Cxcr4/Lingo1/Casz1/Pparg",6
"GO:0003151","outflow tract morphogenesis","5/133","88/28891",5.52919774184478e-05,0.00324212049408171,0.00226194453075468,"Twist1/Tfap2a/Npy1r/Hand2/Isl1",5
"GO:0019233","sensory perception of pain","5/133","95/28891",7.96999816735691e-05,0.00447012940690888,0.0031186949350527,"Dlg2/Cxcr4/Npy1r/Htr2a/Ndn",5
"GO:0042475","odontogenesis of dentin-containing tooth","5/133","95/28891",7.96999816735691e-05,0.00447012940690888,0.0031186949350527,"Sostdc1/Bcl11b/Nkx2-3/Perp/Hand2",5
"GO:0051962","positive regulation of nervous system development","9/133","391/28891",8.64721969796651e-05,0.00474677166399013,0.00331170116092335,"Ptprf/Mdk/Myo5b/Ptprd/Il1b/Clstn2/Cxcr4/Pak3/Pparg",9
"GO:0045765","regulation of angiogenesis","8/133","307/28891",9.21814620913462e-05,0.00495475358740986,0.00345680482842548,"Mdk/Il1b/Sema3e/Cxcr4/Epha2/Erap1/Isl1/Pparg",8
"GO:0048814","regulation of dendrite morphogenesis","5/133","99/28891",9.69489670268889e-05,0.00510465989651782,0.00356139062547755,"Ptprf/Myo5b/Ptprd/Pak3/Dpysl5",5
"GO:0007389","pattern specification process","10/133","498/28891",0.000107841136730069,0.00546321017857057,0.00381154198504924,"Hoxb9/Sostdc1/Pax3/Btg2/Hoxd10/Tfap2a/Hand2/Hoxd13/Isl1/Ccdc40",10
"GO:0098773","skin epidermis development","6/133","162/28891",0.000107993689576395,0.00546321017857057,0.00381154198504924,"Sostdc1/Ptgs2/Igfbp5/Lgr5/Krt17/Krt16",6
"GO:0010718","positive regulation of epithelial to mesenchymal transition","4/133","54/28891",0.000113561338114865,0.00559760856771571,0.00390530830305747,"Mdk/Il1b/Twist1/Isl1",4
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","8/133","317/28891",0.000114989633367803,0.00559760856771571,0.00390530830305747,"Igfbp5/Twist1/Irs2/Sema3e/Epha2/Lingo1/Htr2a/Wnt16",8
"GO:0030879","mammary gland development","6/133","165/28891",0.000119421427690369,0.00570569043409541,0.00398071425634564,"Hoxb9/Sostdc1/Pax3/Igfbp5/Irs2/Epha2",6
"GO:0030198","extracellular matrix organization","8/133","322/28891",0.000128034679886196,0.00591974188606571,0.0041300524786505,"Mmp13/Adamts5/Col7a1/Angptl7/Col17a1/Kazald1/Tfap2a/Adamtsl1",8
"GO:0010721","negative regulation of cell development","8/133","323/28891",0.000130784995157266,0.00591974188606571,0.0041300524786505,"Mdk/Btg2/Map2/Il1b/Sema3e/Lingo1/Dpysl5/Casz1",8
"GO:0045229","external encapsulating structure organization","8/133","323/28891",0.000130784995157266,0.00591974188606571,0.0041300524786505,"Mmp13/Adamts5/Col7a1/Angptl7/Col17a1/Kazald1/Tfap2a/Adamtsl1",8
"GO:0043062","extracellular structure organization","8/133","324/28891",0.000133583934482733,0.00594218191319741,0.00414570831153308,"Mmp13/Adamts5/Col7a1/Angptl7/Col17a1/Kazald1/Tfap2a/Adamtsl1",8
"GO:0046321","positive regulation of fatty acid oxidation","3/133","22/28891",0.000137761535968057,0.00602414852199301,0.00420289431766954,"Twist1/Irs2/Pparg",3
"GO:0050769","positive regulation of neurogenesis","8/133","329/28891",0.000148331463193836,0.00609109020689607,0.0042495978187647,"Ptprf/Mdk/Myo5b/Ptprd/Il1b/Cxcr4/Pak3/Pparg",8
"GO:0043388","positive regulation of DNA binding","4/133","58/28891",0.000150197756138925,0.00609109020689607,0.0042495978187647,"Twist1/Hand2/Isl1/Pparg",4
"GO:0045687","positive regulation of glial cell differentiation","4/133","58/28891",0.000150197756138925,0.00609109020689607,0.0042495978187647,"Mdk/Il1b/Cxcr4/Pparg",4
"GO:0007611","learning or memory","8/133","331/28891",0.000154594572983694,0.00609109020689607,0.0042495978187647,"Mdk/Ptgs2/Btg2/Il1b/Lrrn4/Clstn2/Tmod2/Htr2a",8
"GO:0050708","regulation of protein secretion","8/133","331/28891",0.000154594572983694,0.00609109020689607,0.0042495978187647,"Mmp13/Trh/Il1b/Irs2/Gnao1/Trpc1/Isl1/Pparg",8
"GO:0021515","cell differentiation in spinal cord","4/133","59/28891",0.000160549477155645,0.00609109020689607,0.0042495978187647,"Pax3/Hoxd10/Lhx4/Isl1",4
"GO:0048713","regulation of oligodendrocyte differentiation","4/133","59/28891",0.000160549477155645,0.00609109020689607,0.0042495978187647,"Mdk/Cxcr4/Lingo1/Pparg",4
"GO:0001763","morphogenesis of a branching structure","7/133","249/28891",0.000160679636173377,0.00609109020689607,0.0042495978187647,"Mdk/Il1b/Sema3e/Cxcr4/Epha2/Mgp/Hoxd13",7
"GO:0019217","regulation of fatty acid metabolic process","5/133","111/28891",0.000166241900174436,0.00609109020689607,0.0042495978187647,"Ptgs2/Il1b/Twist1/Irs2/Pparg",5
"GO:0031424","keratinization","4/133","60/28891",0.000171406957839454,0.00609109020689607,0.0042495978187647,"Krt6a/Krt17/Krt16/Krt5",4
"GO:0060443","mammary gland morphogenesis","4/133","60/28891",0.000171406957839454,0.00609109020689607,0.0042495978187647,"Sostdc1/Pax3/Igfbp5/Epha2",4
"GO:0007411","axon guidance","7/133","252/28891",0.000172931597233183,0.00609109020689607,0.0042495978187647,"Bcl11b/Sema3e/Cxcr4/Lhx4/Isl1/Dpysl5/Notch3",7
"GO:0097485","neuron projection guidance","7/133","252/28891",0.000172931597233183,0.00609109020689607,0.0042495978187647,"Bcl11b/Sema3e/Cxcr4/Lhx4/Isl1/Dpysl5/Notch3",7
"GO:0099173","postsynapse organization","7/133","252/28891",0.000172931597233183,0.00609109020689607,0.0042495978187647,"Ptprf/Myo5b/Ptprd/Dlg2/Lrrc4/Pak3/Grid1",7
"GO:0046883","regulation of hormone secretion","8/133","337/28891",0.000174705688104771,0.00609109020689607,0.0042495978187647,"Trh/Il1b/Irs2/Gnao1/Npy1r/Trpc1/Isl1/Pparg",8
"GO:0051222","positive regulation of protein transport","8/133","346/28891",0.000208873298229535,0.007185241459096,0.00501295915750884,"Mmp13/Trh/Ptgs2/Irs2/Trpc1/Pmaip1/Isl1/Pparg",8
"GO:0050775","positive regulation of dendrite morphogenesis","4/133","64/28891",0.000220187009580799,0.00745080337531518,0.00519823491301059,"Ptprf/Myo5b/Ptprd/Pak3",4
"GO:0045834","positive regulation of lipid metabolic process","6/133","185/28891",0.000222368937945453,0.00745080337531518,0.00519823491301059,"Ptgs2/Il1b/Twist1/Irs2/Htr2a/Pparg",6
"GO:0090276","regulation of peptide hormone secretion","7/133","264/28891",0.00022973304630555,0.00751303633799353,0.00524165325906525,"Trh/Il1b/Irs2/Gnao1/Trpc1/Isl1/Pparg",7
"GO:0001942","hair follicle development","5/133","119/28891",0.000230050337481197,0.00751303633799353,0.00524165325906525,"Sostdc1/Ptgs2/Igfbp5/Lgr5/Krt17",5
"GO:0050714","positive regulation of protein secretion","6/133","188/28891",0.000242489674898905,0.00761427495482299,0.00531228485220209,"Mmp13/Trh/Irs2/Trpc1/Isl1/Pparg",6
"GO:0019221","cytokine-mediated signaling pathway","9/133","450/28891",0.000247107455598642,0.00761427495482299,0.00531228485220209,"Ptprf/Il1b/Il12rb2/Arg1/Cxcr4/Il1rl1/Naip6/Pparg/Csf2rb2",9
"GO:1903522","regulation of blood circulation","7/133","268/28891",0.000251700125117892,0.00761427495482299,0.00531228485220209,"Kcnh2/Ptgs2/Dsp/Gnao1/Npy1r/Htr2a/Isl1",7
"GO:0010575","positive regulation of vascular endothelial growth factor production","3/133","27/28891",0.000257289870257709,0.00761427495482299,0.00531228485220209,"Ptgs2/Il1b/Isl1",3
"GO:0050961","detection of temperature stimulus involved in sensory perception","3/133","27/28891",0.000257289870257709,0.00761427495482299,0.00531228485220209,"Cxcr4/Htr2a/Grik2",3
"GO:0002791","regulation of peptide secretion","7/133","269/28891",0.000257448006280573,0.00761427495482299,0.00531228485220209,"Trh/Il1b/Irs2/Gnao1/Trpc1/Isl1/Pparg",7
"GO:0022404","molting cycle process","5/133","122/28891",0.000258245625421354,0.00761427495482299,0.00531228485220209,"Sostdc1/Ptgs2/Igfbp5/Lgr5/Krt17",5
"GO:0022405","hair cycle process","5/133","122/28891",0.000258245625421354,0.00761427495482299,0.00531228485220209,"Sostdc1/Ptgs2/Igfbp5/Lgr5/Krt17",5
"GO:0010770","positive regulation of cell morphogenesis","4/133","67/28891",0.00026280540890171,0.00761427495482299,0.00531228485220209,"Ptprf/Myo5b/Ptprd/Pak3",4
"GO:0098930","axonal transport","4/133","67/28891",0.00026280540890171,0.00761427495482299,0.00531228485220209,"Map2/Dlg2/Cnih2/Uchl1",4
"GO:0003002","regionalization","9/133","455/28891",0.000267984708565981,0.00761427495482299,0.00531228485220209,"Hoxb9/Sostdc1/Pax3/Btg2/Hoxd10/Hand2/Hoxd13/Isl1/Ccdc40",9
"GO:0090087","regulation of peptide transport","7/133","271/28891",0.000269260940553616,0.00761427495482299,0.00531228485220209,"Trh/Il1b/Irs2/Gnao1/Trpc1/Isl1/Pparg",7
"GO:0048813","dendrite morphogenesis","6/133","192/28891",0.000271516781334773,0.00761427495482299,0.00531228485220209,"Igf2bp1/Ptprf/Myo5b/Ptprd/Pak3/Dpysl5",6
"GO:1904951","positive regulation of establishment of protein localization","8/133","362/28891",0.000283111625909699,0.00785406446072067,0.00547957985631675,"Mmp13/Trh/Ptgs2/Irs2/Trpc1/Pmaip1/Isl1/Pparg",8
"GO:0045600","positive regulation of fat cell differentiation","4/133","70/28891",0.000311048041422242,0.00844740996704616,0.00589354183747407,"Ptgs2/Htr2a/Cds1/Pparg",4
"GO:0045668","negative regulation of osteoblast differentiation","4/133","70/28891",0.000311048041422242,0.00844740996704616,0.00589354183747407,"Igfbp5/Twist1/Hand2/Pparg",4
"GO:0050890","cognition","8/133","371/28891",0.000333558657295074,0.00888942277344265,0.00620192286519255,"Mdk/Ptgs2/Btg2/Il1b/Lrrn4/Clstn2/Tmod2/Htr2a",8
"GO:0035249","synaptic transmission, glutamatergic","5/133","129/28891",0.000334214732179821,0.00888942277344265,0.00620192286519255,"Ptgs2/Cnih2/Htr2a/Grik2/Grid1",5
