"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000143161.1",403.055839810429,1.60099599780547,0.292805216312122,5.46778509607854,4.55693895312227e-08,1.8330886536165e-05
"ENSMUSG00000026185.9",4095.9981879728,1.41123375771291,0.260019036480109,5.42742476403594,5.71729539816389e-08,2.24088660144444e-05
"ENSMUSG00000020893.18",2763.05347455648,-1.08264062530776,0.199847222079302,-5.41734137729546,6.04917751037864e-08,2.3116931855912e-05
"ENSMUSG00000028399.19",1446.21765054873,1.19989373517322,0.222303373244271,5.39755073286609,6.75567744889803e-08,2.45874489247274e-05
"ENSMUSG00000015222.19",4160.67950128389,1.14688883396578,0.214930833353172,5.3360833160742,9.49757736736302e-08,3.29954471903434e-05
"ENSMUSG00000033488.12",717.969060290037,1.21470560620637,0.227844782211003,5.3312855989893,9.75199088554137e-08,3.31264294836412e-05
"ENSMUSG00000024481.6",152.691247764607,2.27891154640117,0.433051097662611,5.26245415079555,1.42145118378522e-07,4.62304314794486e-05
"ENSMUSG00000028370.8",1225.99722791045,1.27258208035377,0.243863622007551,5.218417039317,1.8045877513379e-07,5.74686007644814e-05
"ENSMUSG00000085667.3",103.160679144177,2.87584970978274,0.554005911422828,5.19100906774953,2.09157438344924e-07,6.52485837253164e-05
"ENSMUSG00000034690.14",30.1358963142539,8.44745358661184,1.64796913700029,5.12597802771251,2.95997127622413e-07,9.0492241856724e-05
"ENSMUSG00000048251.16",330.643355375426,1.69131453610573,0.332965884798119,5.07954302024422,3.78343844792667e-07,0.000111218538682706
"ENSMUSG00000027398.14",642.002861571061,2.27536900159742,0.449334838032844,5.0638606424528,4.10850031835065e-07,0.000118495350691147
"ENSMUSG00000046337.19",84.2812959682624,2.58425810460198,0.512003450556099,5.04734509463784,4.47991732683737e-07,0.000126814844922289
"ENSMUSG00000025650.14",1383.26366843231,1.27085744302241,0.252773462945742,5.02765372682812,4.96517415413004e-07,0.00013799573112733
"ENSMUSG00000020140.16",1187.36534285432,1.60139637753256,0.320769314003242,4.99236151222487,5.96454793304117e-07,0.00016281085661512
"ENSMUSG00000035557.10",92.7387200328959,5.99816319310162,1.20303017180318,4.98587926860651,6.16806536865198e-07,0.000165412363553007
"ENSMUSG00000068323.13",420.972730343366,-1.23793578674251,0.251466740951824,-4.92286090023999,8.5288077382744e-07,0.000220968398452987
"ENSMUSG00000067001.12",1214.26000583511,1.87631401721457,0.383471073211201,4.89297406842775,9.9323497629752e-07,0.000237227966370061
"ENSMUSG00000043110.3",4575.19071269127,1.1012740507337,0.224660815931752,4.90194093779239,9.4894369645302e-07,0.000237227966370061
"ENSMUSG00000019936.11",55.3351427859588,-3.0294670450356,0.617570986463952,-4.90545558557005,9.32107315783935e-07,0.000237227966370061
"ENSMUSG00000044220.14",47.2370980459696,3.19331127243936,0.651887217820475,4.89856402326143,9.65395833576398e-07,0.000237227966370061
"ENSMUSG00000035799.7",1625.24724255317,-1.15110903161818,0.237114162317848,-4.85466165481559,1.20592462193235e-06,0.000283596365705507
"ENSMUSG00000031519.5",2476.74527389573,1.55101326206786,0.32432981298292,4.78220996029602,1.73378445254284e-06,0.000398172674554139
"ENSMUSG00000018341.13",103.808695566553,2.43379118935911,0.510515251424744,4.76732317509986,1.86689720254877e-06,0.000419667509384714
"ENSMUSG00000019987.10",470.182034044829,1.43842815092925,0.302527619514795,4.75470025922347,1.98741056608982e-06,0.000440283448018101
"ENSMUSG00000038894.8",494.357886058302,1.33175852363359,0.281699829864074,4.7275801489699,2.2721138785317e-06,0.000496164753531936
"ENSMUSG00000028989.4",717.452058685371,1.75515660248377,0.371620101753284,4.72298617379156,2.32406655228453e-06,0.000500361708707342
"ENSMUSG00000052572.20",261.420209836036,-2.04922735521052,0.434445537571009,-4.71687974209098,2.39489149898573e-06,0.000508448770187443
"ENSMUSG00000032452.13",115.249693869488,2.88336486613333,0.61225805835273,4.70939471812094,2.48453508665511e-06,0.000520254840200137
"ENSMUSG00000037379.8",219.630497639725,-2.17652579711958,0.465935151684372,-4.67130627352618,2.99290288507871e-06,0.000609993513350842
"ENSMUSG00000063531.8",365.909820879472,1.25568559886535,0.270441396825869,4.64309685426547,3.43225352739746e-06,0.00068306412007185
"ENSMUSG00000025064.16",82.1474010346071,4.34404938354558,0.935696509078595,4.64258372388637,3.44079139379383e-06,0.00068306412007185
"ENSMUSG00000049436.6",1711.07856899137,1.13745161010439,0.247395579087717,4.59770386479336,4.27172570572522e-06,0.000826551887819186
"ENSMUSG00000045382.7",1412.5554328152,1.52648315746042,0.336558058407187,4.5355715583954,5.74476956669554e-06,0.00104541128091081
"ENSMUSG00000043531.18",93.7219900993388,-2.51355486989879,0.55526548672023,-4.52676229661875,5.98942458720772e-06,0.00107639819840631
"ENSMUSG00000089679.3",63.9430075942935,-2.44075233509156,0.539460881170378,-4.52442877747923,6.05588414647015e-06,0.00107639819840631
"ENSMUSG00000026069.16",337.030185361103,1.14601643979585,0.253859961810318,4.5143646584653,6.35068626908239e-06,0.00110314307169538
"ENSMUSG00000050368.5",79.0785399655526,2.28279664307075,0.506188550854812,4.50977533809436,6.48963156556133e-06,0.00111461245068731
"ENSMUSG00000087365.11",314.877845739229,-1.34811593255327,0.302824287479765,-4.45180914573554,8.51498323008151e-06,0.00144622259616695
"ENSMUSG00000019851.9",473.710837338206,1.16497339241864,0.26415560879422,4.41017852218377,1.0328543474855e-05,0.00173496830282015
"ENSMUSG00000002324.9",412.579831625973,-1.4332358899556,0.328627224101736,-4.36128167370547,1.29302778611982e-05,0.00208054976196079
"ENSMUSG00000039347.8",516.12522620716,-1.02668842243641,0.235789195829981,-4.35426406550332,1.33514688460053e-05,0.00212594325812539
"ENSMUSG00000043773.7",64.3198174658972,-2.36874322373639,0.545565661142789,-4.34181143068026,1.41312793879729e-05,0.00220419119106688
"ENSMUSG00000052760.17",353.671177780094,1.04352522016358,0.242436883542275,4.30431708623089,1.6750161620382e-05,0.00252822127484051
"ENSMUSG00000024873.8",812.199854980292,-1.21141980759661,0.281546448847184,-4.30273517054424,1.68702453247241e-05,0.00252822127484051
"ENSMUSG00000044468.15",730.658722051617,1.76307111334948,0.411829703536215,4.28106835959307,1.85998206576456e-05,0.00276035785022107
"ENSMUSG00000006445.4",970.609012662867,1.07362823691583,0.252144893742814,4.25798127806197,2.06281219698595e-05,0.00303193723491608
"ENSMUSG00000042115.5",244.554499674319,2.79317525167754,0.658901810873965,4.23913731239057,2.24380387652259e-05,0.00320549402397423
"ENSMUSG00000015852.14",1331.67513585999,1.39207733543746,0.329475326951472,4.22513378564002,2.38798868068252e-05,0.00334888027274431
"ENSMUSG00000050875.12",69.6896368853819,-2.41970291872326,0.572477742041945,-4.22671964519098,2.37122802626539e-05,0.00334888027274431
"ENSMUSG00000049939.7",353.965972936715,-1.14521837655235,0.271338092036613,-4.22063252511491,2.43617787083036e-05,0.00338540135759208
"ENSMUSG00000025213.12",331.439098295227,-1.22803690211843,0.291976266932366,-4.20594767862723,2.59990382093045e-05,0.00355027666734822
"ENSMUSG00000026468.15",489.660447311938,1.05782686960258,0.251966196582832,4.19828883377549,2.689394732645e-05,0.00357479025071405
"ENSMUSG00000028591.12",130.677643868624,2.22903905645431,0.530761216825559,4.19970221220386,2.67266250460367e-05,0.00357479025071405
"ENSMUSG00000031284.17",502.487299391452,1.13428153591519,0.270849519917539,4.18786614892477,2.81589499831801e-05,0.00371066990899044
"ENSMUSG00000014782.17",2567.33292079311,-1.21084275297282,0.289974000437286,-4.17569420412468,2.97078680674516e-05,0.00375301215933111
"ENSMUSG00000021359.17",130.602736797974,1.62614461416116,0.391466889216544,4.15397740895947,3.26745448303032e-05,0.00402792816351624
"ENSMUSG00000078300.4",198.156577537576,-1.66171183950789,0.399973136848752,-4.15455861011051,3.25916071306142e-05,0.00402792816351624
"ENSMUSG00000030218.3",10191.0419467764,-1.03475857996903,0.252861844906528,-4.09218947347131,4.27319265449581e-05,0.00504684842574228
"ENSMUSG00000034156.17",320.968014916747,-1.19832097787314,0.292733724339347,-4.09355287156462,4.2481315180766e-05,0.00504684842574228
"ENSMUSG00000032186.16",266.162130046423,1.36690278195985,0.334468540008606,4.08679029102313,4.37382130427047e-05,0.00506501761038473
"ENSMUSG00000129411.1",58.4846123568205,2.29616285993879,0.567255123209994,4.04784860636466,5.16905613478105e-05,0.00576940046531886
"ENSMUSG00000049556.6",335.957612340902,1.05355850661875,0.263106823629006,4.00429944038365,6.22015360353524e-05,0.00669586394250983
"ENSMUSG00000070031.12",470.070492850366,1.33009790442063,0.334476472354031,3.9766561009791,6.98911257307328e-05,0.0072677261763264
"ENSMUSG00000019359.15",81.7722927506386,-2.55248926936888,0.641768697065182,-3.97727293500205,6.97101359166868e-05,0.0072677261763264
"ENSMUSG00000031748.17",281.115166447593,1.17951959232604,0.297373997357775,3.96645168308695,7.29505557095942e-05,0.00748404157434132
"ENSMUSG00000034981.10",698.676591656649,-1.8401520965796,0.464480511065278,-3.96174231801297,7.44048170525022e-05,0.00758234688976366
"ENSMUSG00000034771.16",628.965898797031,-1.19715380867299,0.303850885447113,-3.93993852251376,8.15024925480967e-05,0.00798619936596286
"ENSMUSG00000134796.1",107.135318660477,1.59382950421431,0.40519944759574,3.93344441526594,8.37372098415663e-05,0.00815291076202664
"ENSMUSG00000036437.7",187.447586824462,-1.87592124006257,0.477564204804719,-3.92810269527979,8.56186517053868e-05,0.00828333360739584
"ENSMUSG00000111394.2",1578.08009422189,1.00881896344599,0.258246737620311,3.90641513128894,9.36755233349246e-05,0.0090058116333186
"ENSMUSG00000038193.5",238.634609091121,-1.19167359292701,0.307776806147524,-3.87187588253749,0.000108000947163916,0.0101282360634823
"ENSMUSG00000053797.11",40.4038012165595,4.81164440917425,1.24400573300199,3.86786353272099,0.000109793076673702,0.0102335181099646
"ENSMUSG00000061527.8",209.907819682541,7.72285101190012,1.99800386421417,3.86528332112991,0.000110960319221951,0.0102796329674348
"ENSMUSG00000032839.14",273.55402386747,1.14720434660434,0.297198249138335,3.86006428345531,0.000113357200212074,0.0104384226653118
"ENSMUSG00000002107.20",1373.25085874091,1.23433552392124,0.321022372971467,3.84501401723472,0.000120545547548925,0.0110338876636699
"ENSMUSG00000029673.20",558.24781683429,1.79060212298212,0.466044643831328,3.84212574199262,0.000121973317176785,0.0110371491447491
"ENSMUSG00000131635.1",63.0864165081564,-2.54832056879945,0.663276020231261,-3.84202125671744,0.000122025265305678,0.0110371491447491
"ENSMUSG00000001930.18",455.638778400706,1.11180327131466,0.290923231522621,3.82163798159313,0.000132568204714952,0.0118505121477939
"ENSMUSG00000040229.12",266.388246106046,1.13758173709573,0.298802463119575,3.80713641118978,0.000140585208449438,0.0124218814818388
"ENSMUSG00000035285.7",261.701241362051,-1.18008375313737,0.312433024693842,-3.77707751699345,0.000158679356254785,0.0137038002243539
"ENSMUSG00000034997.6",101.10221190043,1.54566930975828,0.410431790578793,3.76595903445629,0.000165910995991756,0.0142478398018539
"ENSMUSG00000021583.8",2528.56847148273,1.02701515142666,0.27295823500659,3.76253587440535,0.000168199172059496,0.0143636454977735
"ENSMUSG00000021098.16",34.5271435252697,3.41753924464513,0.911321601597402,3.7500913383977,0.000176770170382119,0.0150117156914504
"ENSMUSG00000001819.5",36.8189928342417,3.59180713305849,0.959476621316452,3.74350667151258,0.000181469781838547,0.0151782064411996
"ENSMUSG00000044678.12",146.546596354085,1.57403613972135,0.421004328860334,3.73876473902845,0.000184926683345327,0.0153629852261775
"ENSMUSG00000024521.9",801.423907140749,1.1889742917638,0.324242435124969,3.66692993563766,0.000245480021228809,0.0193423072397092
"ENSMUSG00000070605.5",265.387927153201,1.20201685553992,0.328205173675815,3.66239459932224,0.000249868572002475,0.0194871989368869
"ENSMUSG00000084796.4",146.269778510202,1.74844243724306,0.480348701730033,3.63994413005768,0.000272697203642854,0.0207385545019137
"ENSMUSG00000033585.6",616.82245543328,1.30167013016133,0.359150394718762,3.62430377162923,0.000289740903872842,0.0217106836107856
"ENSMUSG00000090125.4",88.1802003124317,1.75892415910027,0.485708510683559,3.62135750231113,0.000293061210485132,0.0218523593340279
"ENSMUSG00000042258.14",69.884575773734,-2.2603710590617,0.629583073164113,-3.59026656752649,0.000330339955639189,0.0242581977149283
"ENSMUSG00000029223.13",892.438085049716,1.31767733005022,0.367410552564823,3.58638945139645,0.000335288106903247,0.0242901137541376
"ENSMUSG00000029330.9",89.4338004241037,1.73780344088012,0.485096688593601,3.58238570112359,0.00034047059973085,0.0244602596281218
"ENSMUSG00000038523.11",153.214082298819,-1.3434385086019,0.376027587822641,-3.57271262031858,0.000353302416603673,0.0251189801869942
"ENSMUSG00000039963.21",182.07129625216,-1.32352760231621,0.371506787901208,-3.56259332378112,0.000367209304515034,0.0256308741041863
"ENSMUSG00000044528.6",219.892555232557,-1.46635871914562,0.414168392300534,-3.54048919812688,0.000399385983788564,0.0276244984081085
"ENSMUSG00000019906.16",134.15538230493,-1.59425590466445,0.454205035023994,-3.50999170359313,0.000448120675705515,0.0299125443180546
"ENSMUSG00000066113.17",272.596617185651,1.10724605034642,0.315593755748599,3.50845360587061,0.000450719839118917,0.0299552324381381
"ENSMUSG00000019767.13",45.671786285885,-2.20578985517535,0.6325373621962,-3.48720879904508,0.000488090133235949,0.0320212265092048
"ENSMUSG00000029671.16",1282.36830332185,-1.67756608804097,0.482075386607957,-3.47988330174847,0.000501632232864082,0.0322818474228805
"ENSMUSG00000056073.17",218.439192894264,-1.40121855347558,0.402588697824857,-3.48052133864217,0.000500438958792433,0.0322818474228805
"ENSMUSG00000041078.8",591.254693126528,1.20577904678648,0.346704123182303,3.47783301715295,0.000505484714166251,0.0322818474228805
"ENSMUSG00000029212.12",40.3508642968998,-2.74734955163128,0.793688530282583,-3.46149584731069,0.000537182407577121,0.0337916472519501
"ENSMUSG00000029168.15",177.565651758329,1.8091824207292,0.527218459190053,3.43156122323293,0.000600117654950527,0.0370259064593788
"ENSMUSG00000022296.11",1538.8637637823,-1.06985460886201,0.312902771065679,-3.41912794577789,0.00062822179334972,0.038258957502565
"ENSMUSG00000104667.3",119.750391938737,1.77615875427984,0.521518794806658,3.40574255801905,0.000659843691592166,0.0395543947830504
"ENSMUSG00000028977.18",139.024064531496,1.36547482442891,0.401345374686933,3.40224382925565,0.000668349796985029,0.0396793185198815
"ENSMUSG00000078307.4",36.56580263715,-4.05297438472056,1.19101819477399,-3.40294917617919,0.000666626796638988,0.0396793185198815
"ENSMUSG00000078942.11",337.386354681209,1.06400080515332,0.313706841027051,3.39170418365715,0.00069459387660319,0.040370958166374
"ENSMUSG00000109006.5",88.0375134540838,-1.67629271493637,0.496086200500956,-3.37903516212228,0.000727407039281017,0.0413351078157979
"ENSMUSG00000140700.1",140.133539042941,1.30625256931618,0.386933593130194,3.37590892212003,0.000735722699180156,0.0416528043691403
"ENSMUSG00000079164.11",157.448356019457,1.23732145710066,0.366939003776563,3.37200854737722,0.000746221324983407,0.0416620105600609
"ENSMUSG00000000440.13",202.991481595427,-1.17091484213017,0.347165369223624,-3.37278699413114,0.000744114933806755,0.0416620105600609
"ENSMUSG00000139940.1",89.9783181314451,-1.59959814096233,0.477124256940966,-3.35258188551969,0.000800615542155501,0.0441812605681913
"ENSMUSG00000029919.6",521.957037557985,1.06596674893653,0.318548722895301,3.34632246912785,0.000818910996218845,0.0446635206678423
"ENSMUSG00000025083.19",415.212773070647,-1.10313870845786,0.329699203212471,-3.34589437192834,0.000820176332871932,0.0446635206678423
"ENSMUSG00000071714.8",1005.66316692496,1.05592623463229,0.316274948356479,3.33863380618479,0.000841914713646221,0.0454752943915058
"ENSMUSG00000038146.9",1326.46101615233,-1.00364664491863,0.303182658814343,-3.31036956019712,0.000931728670532951,0.049625102640302
